Freq.	V(out)
1.00000000000000e+002	(1.84437304202305e+001dB,7.95051783866759e+001°)
1.02329299228075e+002	(1.85760783936376e+001dB,7.89526221599112e+001°)
1.04712854805090e+002	(1.87068512779563e+001dB,7.84145403019004e+001°)
1.07151930523761e+002	(1.88361033621651e+001dB,7.78911529004699e+001°)
1.09647819614318e+002	(1.89638914345331e+001dB,7.73826718089706e+001°)
1.12201845430196e+002	(1.90902747376995e+001dB,7.68892993994748e+001°)
1.14815362149688e+002	(1.92153149095125e+001dB,7.64112273294994e+001°)
1.17489755493953e+002	(1.93390759092909e+001dB,7.59486353301467e+001°)
1.20226443461741e+002	(1.94616239295505e+001dB,7.55016900241855e+001°)
1.23026877081238e+002	(1.95830272936328e+001dB,7.50705437811683e+001°)
1.25892541179417e+002	(1.97033563402594e+001dB,7.46553336171378e+001°)
1.28824955169313e+002	(1.98226832948366e+001dB,7.42561801460071e+001°)
1.31825673855641e+002	(1.99410821287070e+001dB,7.38731865891974e+001°)
1.34896288259165e+002	(2.00586284065846e+001dB,7.35064378506893e+001°)
1.38038426460288e+002	(2.01753991231902e+001dB,7.31559996626759e+001°)
1.41253754462275e+002	(2.02914725305216e+001dB,7.28219178064275e+001°)
1.44543977074593e+002	(2.04069279559042e+001dB,7.25042174151091e+001°)
1.47910838816821e+002	(2.05218456114903e+001dB,7.22029023624117e+001°)
1.51356124843621e+002	(2.06363063978449e+001dB,7.19179547397115e+001°)
1.54881661891248e+002	(2.07503917010516e+001dB,7.16493344259907e+001°)
1.58489319246111e+002	(2.08641831850046e+001dB,7.13969787537843e+001°)
1.62181009735893e+002	(2.09777625808745e+001dB,7.11608022709706e+001°)
1.65958690743756e+002	(2.10912114728320e+001dB,7.09406966035090e+001°)
1.69824365246174e+002	(2.12046110834915e+001dB,7.07365304165543e+001°)
1.73780082874937e+002	(2.13180420591559e+001dB,7.05481494757582e+001°)
1.77827941003892e+002	(2.14315842553887e+001dB,7.03753768092047e+001°)
