Freq.	V(out)
1.00000000000000e+002	(8.19843904934109e-001dB,-9.01153445422804e+001°)
1.02329299228075e+002	(1.00900005702956e+000dB,-9.01914327544233e+001°)
1.04712854805090e+002	(1.19817946611145e+000dB,-9.02641613422774e+001°)
1.07151930523761e+002	(1.38739518479689e+000dB,-9.03335952093612e+001°)
1.09647819614318e+002	(1.57665992920298e+000dB,-9.03998026946047e+001°)
1.12201845430196e+002	(1.76598603806495e+000dB,-9.04628554229737e+001°)
1.14815362149688e+002	(1.95538543402441e+000dB,-9.05228281314104e+001°)
1.17489755493953e+002	(2.14486958840582e+000dB,-9.05797984757367e+001°)
1.20226443461741e+002	(2.33444948856089e+000dB,-9.06338468178256e+001°)
1.23026877081238e+002	(2.52413560863883e+000dB,-9.06850559966656e+001°)
1.25892541179417e+002	(2.71393788469103e+000dB,-9.07335110877580e+001°)
1.28824955169313e+002	(2.90386569227803e+000dB,-9.07792991494116e+001°)
1.31825673855641e+002	(3.09392782885923e+000dB,-9.08225089622007e+001°)
1.34896288259165e+002	(3.28413249939093e+000dB,-9.08632307634483e+001°)
1.38038426460288e+002	(3.47448730591319e+000dB,-9.09015559767971e+001°)
1.41253754462275e+002	(3.66499924083192e+000dB,-9.09375769437771e+001°)
1.44543977074593e+002	(3.85567468377436e+000dB,-9.09713866553444e+001°)
1.47910838816821e+002	(4.04651940212518e+000dB,-9.10030784887526e+001°)
1.51356124843621e+002	(4.23753855468005e+000dB,-9.10327459504251e+001°)
1.54881661891248e+002	(4.42873669848630e+000dB,-9.10604824265697e+001°)
1.58489319246111e+002	(4.62011779885468e+000dB,-9.10863809444279e+001°)
1.62181009735893e+002	(4.81168524164669e+000dB,-9.11105339438427e+001°)
1.65958690743756e+002	(5.00344184849267e+000dB,-9.11330330619655e+001°)
1.69824365246174e+002	(5.19538989376949e+000dB,-9.11539689316451e+001°)
1.73780082874937e+002	(5.38753112401607e+000dB,-9.11734309941587e+001°)
1.77827941003892e+002	(5.57986677838969e+000dB,-9.11915073261141e+001°)
1.81970085860998e+002	(5.77239761112733e+000dB,-9.12082844832518e+001°)
1.86208713666287e+002	(5.96512391491672e+000dB,-9.12238473590651e+001°)
1.90546071796324e+002	(6.15804554510749e+000dB,-9.12382790590803e+001°)
1.94984459975804e+002	(6.35116194476912e+000dB,-9.12516607914764e+001°)
1.99526231496888e+002	(6.54447217006910e+000dB,-9.12640717722926e+001°)
2.04173794466953e+002	(6.73797491597944e+000dB,-9.12755891462890e+001°)
2.08929613085404e+002	(6.93166854198231e+000dB,-9.12862879223202e+001°)
2.13796208950223e+002	(7.12555109764506e+000dB,-9.12962409222076e+001°)
2.18776162394955e+002	(7.31962034792157e+000dB,-9.13055187436362e+001°)
2.23872113856834e+002	(7.51387379798835e+000dB,-9.13141897349137e+001°)
2.29086765276777e+002	(7.70830871745836e+000dB,-9.13223199824781e+001°)
2.34422881531992e+002	(7.90292216405992e+000dB,-9.13299733083494e+001°)
2.39883291901949e+002	(8.09771100637477e+000dB,-9.13372112790085e+001°)
2.45470891568503e+002	(8.29267194578823e+000dB,-9.13440932224367e+001°)
2.51188643150958e+002	(8.48780153750864e+000dB,-9.13506762547350e+001°)
2.57039578276886e+002	(8.68309621065221e+000dB,-9.13570153140866e+001°)
2.63026799189538e+002	(8.87855228718439e+000dB,-9.13631632010230e+001°)
2.69153480392691e+002	(9.07416599997176e+000dB,-9.13691706258462e+001°)
2.75422870333816e+002	(9.26993350967431e+000dB,-9.13750862610348e+001°)
2.81838293126445e+002	(9.46585092060891e+000dB,-9.13809567976577e+001°)
2.88403150312660e+002	(9.66191429557713e+000dB,-9.13868270069498e+001°)
2.95120922666638e+002	(9.85811966948900e+000dB,-9.13927398037027e+001°)
3.01995172040201e+002	(1.00544630623082e+001dB,-9.13987363141347e+001°)
3.09029543251358e+002	(1.02509404905871e+001dB,-9.14048559441471e+001°)
3.16227766016837e+002	(1.04475479781428e+001dB,-9.14111364502942e+001°)
3.23593656929628e+002	(1.06442815660837e+001dB,-9.14176140118864e+001°)
3.31131121482590e+002	(1.08411373214857e+001dB,-9.14243233029967e+001°)
3.38844156139202e+002	(1.10381113453352e+001dB,-9.14312975657266e+001°)
3.46736850452531e+002	(1.12351997799010e+001dB,-9.14385686828226e+001°)
3.54813389233575e+002	(1.14323988148902e+001dB,-9.14461672501016e+001°)
3.63078054770101e+002	(1.16297046932004e+001dB,-9.14541226485142e+001°)
3.71535229097172e+002	(1.18271137158126e+001dB,-9.14624631147873e+001°)
3.80189396320560e+002	(1.20246222458729e+001dB,-9.14712158116695e+001°)
3.89045144994280e+002	(1.22222267126276e+001dB,-9.14804068963485e+001°)
3.98107170553496e+002	(1.24199236141991e+001dB,-9.14900615876488e+001°)
4.07380277804112e+002	(1.26177095200190e+001dB,-9.15002042316752e+001°)
4.16869383470335e+002	(1.28155810731484e+001dB,-9.15108583661179e+001°)
4.26579518801592e+002	(1.30135349915154e+001dB,-9.15220467822407e+001°)
4.36515832240165e+002	(1.32115680691888e+001dB,-9.15337915857640e+001°)
4.46683592150962e+002	(1.34096771769499e+001dB,-9.15461142551158e+001°)
4.57088189614874e+002	(1.36078592626840e+001dB,-9.15590356987561e+001°)
4.67735141287197e+002	(1.38061113514598e+001dB,-9.15725763097454e+001°)
4.78630092322637e+002	(1.40044305452447e+001dB,-9.15867560195159e+001°)
4.89778819368445e+002	(1.42028140222002e+001dB,-9.16015943483686e+001°)
5.01187233627271e+002	(1.44012590360282e+001dB,-9.16171104554956e+001°)
5.12861383991364e+002	(1.45997629149664e+001dB,-9.16333231865115e+001°)
5.24807460249771e+002	(1.47983230604366e+001dB,-9.16502511193693e+001°)
5.37031796370251e+002	(1.49969369458031e+001dB,-9.16679126083247e+001°)
5.49540873857623e+002	(1.51956021145984e+001dB,-9.16863258266263e+001°)
5.62341325190348e+002	(1.53943161791270e+001dB,-9.17055088076540e+001°)
5.75439937337155e+002	(1.55930768184260e+001dB,-9.17254794837385e+001°)
5.88843655355587e+002	(1.57918817763951e+001dB,-9.17462557243083e+001°)
6.02559586074356e+002	(1.59907288597631e+001dB,-9.17678553722990e+001°)
6.16595001861481e+002	(1.61896159360436e+001dB,-9.17902962789702e+001°)
6.30957344480192e+002	(1.63885409313874e+001dB,-9.18135963377501e+001°)
6.45654229034654e+002	(1.65875018281453e+001dB,-9.18377735164809e+001°)
6.60693448007594e+002	(1.67864966627457e+001dB,-9.18628458886527e+001°)
6.76082975391980e+002	(1.69855235234885e+001dB,-9.18888316637190e+001°)
6.91830970918935e+002	(1.71845805478955e+001dB,-9.19157492158749e+001°)
7.07945784384136e+002	(1.73836659204804e+001dB,-9.19436171121490e+001°)
7.24435960074988e+002	(1.75827778702895e+001dB,-9.19724541392472e+001°)
7.41310241300916e+002	(1.77819146684733e+001dB,-9.20022793300767e+001°)
7.58577575029182e+002	(1.79810746258690e+001dB,-9.20331119886862e+001°)
7.76247116628690e+002	(1.81802560903814e+001dB,-9.20649717150485e+001°)
7.94328234724279e+002	(1.83794574447017e+001dB,-9.20978784286199e+001°)
8.12830516164097e+002	(1.85786771036651e+001dB,-9.21318523916699e+001°)
8.31763771102669e+002	(1.87779135117503e+001dB,-9.21669142314954e+001°)
8.51138038202374e+002	(1.89771651406996e+001dB,-9.22030849626073e+001°)
8.70963589956078e+002	(1.91764304868640e+001dB,-9.22403860078493e+001°)
8.91250938133743e+002	(1.93757080687504e+001dB,-9.22788392193065e+001°)
9.12010839355907e+002	(1.95749964245575e+001dB,-9.23184668988607e+001°)
9.33254300796988e+002	(1.97742941094351e+001dB,-9.23592918178298e+001°)
9.54992586021433e+002	(1.99735996932110e+001dB,-9.24013372369571e+001°)
9.77237220955808e+002	(2.01729117576397e+001dB,-9.24446269254627e+001°)
9.99999999999997e+002	(2.03722288939396e+001dB,-9.24891851800140e+001°)
1.02329299228075e+003	(2.05715497001175e+001dB,-9.25350368434426e+001°)
1.04712854805090e+003	(2.07708727784431e+001dB,-9.25822073231843e+001°)
1.07151930523760e+003	(2.09701967329339e+001dB,-9.26307226094936e+001°)
1.09647819614318e+003	(2.11695201664357e+001dB,-9.26806092934206e+001°)
1.12201845430196e+003	(2.13688416782357e+001dB,-9.27318945847731e+001°)
1.14815362149688e+003	(2.15681598613245e+001dB,-9.27846063296811e+001°)
1.17489755493953e+003	(2.17674732994675e+001dB,-9.28387730283059e+001°)
1.20226443461741e+003	(2.19667805648182e+001dB,-9.28944238523101e+001°)
1.23026877081238e+003	(2.21660802146791e+001dB,-9.29515886621569e+001°)
1.25892541179416e+003	(2.23653707890453e+001dB,-9.30102980245179e+001°)
1.28824955169313e+003	(2.25646508075404e+001dB,-9.30705832295820e+001°)
1.31825673855640e+003	(2.27639187664892e+001dB,-9.31324763080834e+001°)
1.34896288259165e+003	(2.29631731359715e+001dB,-9.31960100487692e+001°)
1.38038426460288e+003	(2.31624123566911e+001dB,-9.32612180152217e+001°)
1.41253754462275e+003	(2.33616348369821e+001dB,-9.33281345632781e+001°)
1.44543977074592e+003	(2.35608389493898e+001dB,-9.33967948579411e+001°)
1.47910838816820e+003	(2.37600230276886e+001dB,-9.34672348906387e+001°)
1.51356124843620e+003	(2.39591853633445e+001dB,-9.35394914962184e+001°)
1.54881661891248e+003	(2.41583242020570e+001dB,-9.36136023699913e+001°)
1.58489319246111e+003	(2.43574377404237e+001dB,-9.36896060849563e+001°)
1.62181009735892e+003	(2.45565241220504e+001dB,-9.37675421086683e+001°)
1.65958690743755e+003	(2.47555814339939e+001dB,-9.38474508203432e+001°)
1.69824365246174e+003	(2.49546077028258e+001dB,-9.39293735278116e+001°)
1.73780082874937e+003	(2.51536008907494e+001dB,-9.40133524844947e+001°)
1.77827941003892e+003	(2.53525588914295e+001dB,-9.40994309062075e+001°)
1.81970085860998e+003	(2.55514795257909e+001dB,-9.41876529880146e+001°)
1.86208713666286e+003	(2.57503605376922e+001dB,-9.42780639209503e+001°)
1.90546071796324e+003	(2.59491995892943e+001dB,-9.43707099084885e+001°)
1.94984459975804e+003	(2.61479942566067e+001dB,-9.44656381831440e+001°)
1.99526231496887e+003	(2.63467420245078e+001dB,-9.45628970226724e+001°)
2.04173794466952e+003	(2.65454402818631e+001dB,-9.46625357661589e+001°)
2.08929613085403e+003	(2.67440863161416e+001dB,-9.47646048298594e+001°)
2.13796208950222e+003	(2.69426773084342e+001dB,-9.48691557228873e+001°)
2.18776162394954e+003	(2.71412103275586e+001dB,-9.49762410623457e+001°)
2.23872113856833e+003	(2.73396823245390e+001dB,-9.50859145883937e+001°)
2.29086765276776e+003	(2.75380901265285e+001dB,-9.51982311787437e+001°)
2.34422881531991e+003	(2.77364304307831e+001dB,-9.53132468627030e+001°)
2.39883291901948e+003	(2.79346997981894e+001dB,-9.54310188348779e+001°)
2.45470891568502e+003	(2.81328946465724e+001dB,-9.55516054680436e+001°)
2.51188643150957e+003	(2.83310112439668e+001dB,-9.56750663256236e+001°)
2.57039578276885e+003	(2.85290457014292e+001dB,-9.58014621733743e+001°)
2.63026799189537e+003	(2.87269939656663e+001dB,-9.59308549902588e+001°)
2.69153480392690e+003	(2.89248518114194e+001dB,-9.60633079784985e+001°)
2.75422870333815e+003	(2.91226148334973e+001dB,-9.61988855726684e+001°)
2.81838293126444e+003	(2.93202784386086e+001dB,-9.63376534477633e+001°)
2.88403150312659e+003	(2.95178378368142e+001dB,-9.64796785260784e+001°)
2.95120922666637e+003	(2.97152880327700e+001dB,-9.66250289828564e+001°)
3.01995172040200e+003	(2.99126238165790e+001dB,-9.67737742506388e+001°)
3.09029543251358e+003	(3.01098397544258e+001dB,-9.69259850219508e+001°)
3.16227766016836e+003	(3.03069301786709e+001dB,-9.70817332506043e+001°)
3.23593656929627e+003	(3.05038891778940e+001dB,-9.72410921509841e+001°)
3.31131121482590e+003	(3.07007105864423e+001dB,-9.74041361956801e+001°)
3.38844156139201e+003	(3.08973879735186e+001dB,-9.75709411108327e+001°)
3.46736850452530e+003	(3.10939146322070e+001dB,-9.77415838693835e+001°)
3.54813389233574e+003	(3.12902835679971e+001dB,-9.79161426819078e+001°)
3.63078054770100e+003	(3.14864874867544e+001dB,-9.80946969847975e+001°)
3.71535229097171e+003	(3.16825187825379e+001dB,-9.82773274256655e+001°)
3.80189396320559e+003	(3.18783695253172e+001dB,-9.84641158458897e+001°)
3.89045144994279e+003	(3.20740314476319e+001dB,-9.86551452597206e+001°)
3.98107170553495e+003	(3.22694959314174e+001dB,-9.88504998301245e+001°)
4.07380277804111e+003	(3.24647539945838e+001dB,-9.90502648409320e+001°)
4.16869383470333e+003	(3.26597962764976e+001dB,-9.92545266649271e+001°)
4.26579518801591e+003	(3.28546130239814e+001dB,-9.94633727279134e+001°)
4.36515832240164e+003	(3.30491940764260e+001dB,-9.96768914682112e+001°)
4.46683592150961e+003	(3.32435288507798e+001dB,-9.98951722914515e+001°)
4.57088189614873e+003	(3.34376063260621e+001dB,-1.00118305520262e+002°)
4.67735141287196e+003	(3.36314150277322e+001dB,-1.00346382338662e+002°)
4.78630092322636e+003	(3.38249430116726e+001dB,-1.00579494730774e+002°)
4.89778819368444e+003	(3.40181778479506e+001dB,-1.00817735413477e+002°)
5.01187233627270e+003	(3.42111066043304e+001dB,-1.01061197762802e+002°)
5.12861383991362e+003	(3.44037158294301e+001dB,-1.01309975733530e+002°)
5.24807460249770e+003	(3.45959915360435e+001dB,-1.01564163771887e+002°)
5.37031796370250e+003	(3.47879191839016e+001dB,-1.01823856720655e+002°)
5.49540873857622e+003	(3.49794836626827e+001dB,-1.02089149716668e+002°)
5.62341325190346e+003	(3.51706692746231e+001dB,-1.02360138080028e+002°)
5.75439937337154e+003	(3.53614597175512e+001dB,-1.02636917194917e+002°)
5.88843655355586e+003	(3.55518380676543e+001dB,-1.02919582381386e+002°)
6.02559586074354e+003	(3.57417867624615e+001dB,-1.03208228757970e+002°)
6.16595001861479e+003	(3.59312875839966e+001dB,-1.03502951094598e+002°)
6.30957344480190e+003	(3.61203216423161e+001dB,-1.03803843655537e+002°)
6.45654229034652e+003	(3.63088693593127e+001dB,-1.04111000031968e+002°)
6.60693448007592e+003	(3.64969104528572e+001dB,-1.04424512963873e+002°)
6.76082975391978e+003	(3.66844239218718e+001dB,-1.04744474150979e+002°)
6.91830970918932e+003	(3.68713880315527e+001dB,-1.05070974052320e+002°)
7.07945784384134e+003	(3.70577802997318e+001dB,-1.05404101674316e+002°)
7.24435960074986e+003	(3.72435774841892e+001dB,-1.05743944347096e+002°)
7.41310241300913e+003	(3.74287555705104e+001dB,-1.06090587488761e+002°)
7.58577575029179e+003	(3.76132897617809e+001dB,-1.06444114357647e+002°)
7.76247116628687e+003	(3.77971544690483e+001dB,-1.06804605792324e+002°)
7.94328234724277e+003	(3.79803233036717e+001dB,-1.07172139939418e+002°)
8.12830516164094e+003	(3.81627690710069e+001dB,-1.07546791969229e+002°)
8.31763771102666e+003	(3.83444637662177e+001dB,-1.07928633779298e+002°)
8.51138038202371e+003	(3.85253785717627e+001dB,-1.08317733686095e+002°)
8.70963589956075e+003	(3.87054838573591e+001dB,-1.08714156105162e+002°)
8.91250938133740e+003	(3.88847491823037e+001dB,-1.09117961220087e+002°)
9.12010839355904e+003	(3.90631433000221e+001dB,-1.09529204640702e+002°)
9.33254300796985e+003	(3.92406341660529e+001dB,-1.09947937051399e+002°)
9.54992586021430e+003	(3.94171889483423e+001dB,-1.10374203849964e+002°)
9.77237220955804e+003	(3.95927740412135e+001dB,-1.10808044778096e+002°)
9.99999999999993e+003	(3.97673550827010e+001dB,-1.11249493544506e+002°)
1.02329299228075e+004	(3.99408969751576e+001dB,-1.11698577441722e+002°)
1.04712854805089e+004	(4.01133639100289e+001dB,-1.12155316958048e+002°)
1.07151930523760e+004	(4.02847193965353e+001dB,-1.12619725386120e+002°)
1.09647819614318e+004	(4.04549262944836e+001dB,-1.13091808429659e+002°)
1.12201845430196e+004	(4.06239468514982e+001dB,-1.13571563810316e+002°)
1.14815362149688e+004	(4.07917427446564e+001dB,-1.14058980876547e+002°)
1.17489755493952e+004	(4.09582751269454e+001dB,-1.14554040216721e+002°)
1.20226443461740e+004	(4.11235046784649e+001dB,-1.15056713278759e+002°)
1.23026877081237e+004	(4.12873916622980e+001dB,-1.15566961998743e+002°)
1.25892541179416e+004	(4.14498959855639e+001dB,-1.16084738441203e+002°)
