Freq.	V(out3)
1.00000000000000e+000	(-5.62283959739415e+001dB,-7.93930960208747e+000°)
1.25892541179417e+000	(-5.24770816193298e+001dB,-9.13186597525454e+000°)
1.58489319246111e+000	(-4.88006517987279e+001dB,-1.00591903166692e+001°)
1.99526231496888e+000	(-4.51853140426974e+001dB,-1.04435422907850e+001°)
2.51188643150958e+000	(-4.15881198360847e+001dB,-1.00260478051372e+001°)
3.16227766016838e+000	(-3.79366681169920e+001dB,-8.70764461702816e+000°)
3.98107170553497e+000	(-3.41455840448665e+001dB,-6.68835078641039e+000°)
5.01187233627272e+000	(-3.01472528287421e+001dB,-4.51295300645026e+000°)
6.30957344480194e+000	(-2.59229429922937e+001dB,-2.96758107784724e+000°)
7.94328234724282e+000	(-2.15177457236056e+001dB,-2.86153385337029e+000°)
1.00000000000000e+001	(-1.70324146895268e+001dB,-4.79808714398145e+000°)
1.25892541179417e+001	(-1.25983539797039e+001dB,-9.02704367714326e+000°)
1.58489319246111e+001	(-8.34718780824860e+000dB,-1.54098840852691e+001°)
1.99526231496888e+001	(-4.38384513175157e+000dB,-2.34838362516232e+001°)
2.51188643150958e+001	(-7.68940273677520e-001dB,-3.25959054913161e+001°)
3.16227766016838e+001	(2.48598521728004e+000dB,-4.20668754818050e+001°)
3.98107170553498e+001	(5.41027717753910e+000dB,-5.13361609643579e+001°)
5.01187233627273e+001	(8.05749390174114e+000dB,-6.00461570194393e+001°)
6.30957344480194e+001	(1.04874743923748e+001dB,-6.80536441117069e+001°)
7.94328234724283e+001	(1.27530606890077e+001dB,-7.53888186781294e+001°)
1.00000000000000e+002	(1.48932312379987e+001dB,-8.21957620374432e+001°)
1.25892541179417e+002	(1.69310232766365e+001dB,-8.86783758716685e+001°)
1.58489319246112e+002	(1.88737625641540e+001dB,-9.50588068111256e+001°)
1.99526231496888e+002	(2.07140021159027e+001dB,-1.01543944801939e+002°)
2.51188643150958e+002	(2.24309824958461e+001dB,-1.08292307198592e+002°)
